registration,reg_country_prefix,aoc,aircraft_type_raw,aircraft_variant,aircraft_msn,wo_count,first_issue_date,last_issue_date,max_total_hours,max_total_cycles,top_station,distinct_stations,top_ata_chapter
SP-REG00620,SP,Buzz (Poland),B737-8,737-800,33643,3,2025-06-14,2025-12-23,55472.3,31263,PRG,3,33
9H-REG00624,9H,Malta Air / Lauda Europe (Malta),32S,A320,3616,3,2025-07-13,2026-07-02,55546.8,36671,VIE,2,25
9H-REG00399,9H,Malta Air / Lauda Europe (Malta),32S,A320,3105,2,2026-04-29,2026-06-02,45085.5,24635,VIE,1,38
EI-REG00453,EI,Ryanair DAC (Ireland),M73-82,737-8200,67064,2,2025-11-09,2026-05-26,2459.3,1032,OPO,2,33
EI-REG00589,EI,Ryanair DAC (Ireland),B737-8,737-800,37528,2,2025-09-10,2025-09-13,51615.6,28594,CRL,2,25
SP-REG00592,SP,Buzz (Poland),M73-82,737-8200,67126,2,2026-08-14,2026-08-26,2283.2,1166,KRK,2,23
EI-REG00616,EI,Ryanair DAC (Ireland),M73-82,737-8200,67066,2,2025-12-16,2026-02-25,1493.5,643,PFO,1,25
9H-REG00617,9H,Malta Air / Lauda Europe (Malta),32S,A320,2502,2,2025-05-06,2025-05-06,52522.0,28308,VIE,1,38
EI-REG00623,EI,Ryanair DAC (Ireland),B737-8,737-800,35013,2,2025-08-16,2026-02-21,52738.2,28192,DUB,2,33
9H-REG00149,9H,Malta Air / Lauda Europe (Malta),32S,A320,2994,1,2026-04-21,2026-04-21,64016.0,41373,PMI,1,38
9H-REG00531,9H,Malta Air / Lauda Europe (Malta),32S,A320,4603,1,2026-04-03,2026-04-03,46640.7,30212,VIE,1,25
9H-REG00618,9H,Malta Air / Lauda Europe (Malta),32S,A320,3131,1,2025-02-02,2025-02-02,48630.5,26777,ZAG,1,38
EI-REG00621,EI,Ryanair DAC (Ireland),M73-82,737-8200,67123,1,2026-01-31,2026-01-31,1342.4,611,MAD,1,33
EI-REG00626,EI,Ryanair DAC (Ireland),B737-8,737-800,33717,1,2015-01-09,2015-01-09,39579.0,25282,STN,1,38
9H-REG00627,9H,Malta Air / Lauda Europe (Malta),32S,A320,2928,1,,,53514.4,29883,VIE,1,38
EI-REG00628,EI,Ryanair DAC (Ireland),M73-82,737-8200,67125,1,2025-10-29,2025-10-29,218.0,90,PFO,1,34
SP-REG00629,SP,Buzz (Poland),B737-7,737-700,29078,1,2026-01-10,2026-01-10,51904.4,53392,KTW,1,80
