registration,reg_country_prefix,aoc,aircraft_type_raw,aircraft_variant,aircraft_msn,wo_count,first_issue_date,last_issue_date,max_total_hours,max_total_cycles,top_station,distinct_stations,top_ata_chapter
G-REG00522,G,Ryanair UK (UK),B737-8,737-800,36576,9,2025-02-05,2025-12-30,58143.1,32389,MAN,5,33
EI-REG00524,EI,Ryanair DAC (Ireland),B737-8,737-800,38511,9,2025-04-19,2026-05-29,51270.3,26482,STN,5,23
EI-REG00540,EI,Ryanair DAC (Ireland),B737-8,737-800,35007,9,2025-01-22,2026-06-06,54886.2,28722,DUB,8,25
SP-REG00554,SP,Buzz (Poland),B737-8,737-800,33607,9,2025-03-25,2026-07-30,61751.8,35960,KRK,7,25
EI-REG00573,EI,Ryanair DAC (Ireland),B737-8,737-800,33577,9,2025-05-11,2026-07-02,64681.2,39510,STN,6,23
SP-REG00585,SP,Buzz (Poland),B737-8,737-800,35020,9,2017-01-27,2026-08-30,53717.7,27551,BCN,9,38
EI-REG00600,EI,Ryanair DAC (Ireland),M73-82,737-8200,67085,9,2025-02-23,2026-08-17,12461.9,5793,DUB,8,33
EI-REG00604,EI,Ryanair DAC (Ireland),B737-8,737-800,33808,9,2025-01-05,2026-08-07,67737.3,41778,TLS,6,25
EI-REG00614,EI,Ryanair DAC (Ireland),B737-8,737-800,40310,9,2025-04-03,2026-08-29,47729.1,24461,FCO,9,25
EI-REG00004,EI,Ryanair DAC (Ireland),B737-8,737-800,33568,8,2025-10-03,2026-06-17,67053.8,40241,DUB,6,25
EI-REG00017,EI,Ryanair DAC (Ireland),B737-8,737-800,38497,8,2025-10-30,2026-08-13,52372.9,27202,OPO,7,25
EI-REG00069,EI,Ryanair DAC (Ireland),B737-8,737-800,34976,8,2025-01-03,2026-06-18,48099.5,24625,MXP,8,25
EI-REG00116,EI,Ryanair DAC (Ireland),M73-82,737-8200,62358,8,2025-07-19,2026-08-19,12485.4,5947,MAN,5,33
EI-REG00118,EI,Ryanair DAC (Ireland),B737-8,737-800,35032,8,2025-02-01,2026-03-04,50002.9,25911,FNC,7,25
EI-REG00143,EI,Ryanair DAC (Ireland),B737-8,737-800,35031,8,2025-06-12,2026-06-27,51356.9,26610,DUB,7,25
EI-REG00152,EI,Ryanair DAC (Ireland),B737-8,737-800,37520,8,2025-03-07,2026-08-01,54121.3,31341,STN,6,25
SP-REG00192,SP,Buzz (Poland),B737-8,737-800,44847,8,2024-12-22,2026-08-26,24901.7,13046,KRK,6,33
EI-REG00193,EI,Ryanair DAC (Ireland),B737-8,737-800,33598,8,2025-03-25,2026-06-24,61704.5,36331,CRL,7,23
SP-REG00196,SP,Buzz (Poland),M73-82,737-8200,67117,8,2025-04-10,2026-08-16,5499.7,2617,KRK,5,33
SP-REG00206,SP,Buzz (Poland),B737-8,737-800,44701,8,2025-05-22,2026-05-17,34481.6,18559,POZ,7,38
EI-REG00210,EI,Ryanair DAC (Ireland),M73-82,737-8200,62379,8,2025-02-19,2026-07-09,7246.9,3356,CGN,6,25
SP-REG00215,SP,Buzz (Poland),M73-82,737-8200,67119,8,2025-03-17,2026-04-18,4446.2,2106,KRK,4,25
EI-REG00225,EI,Ryanair DAC (Ireland),M73-82,737-8200,67067,8,2025-09-30,2026-08-07,3880.8,1769,BGY,6,25
EI-REG00251,EI,Ryanair DAC (Ireland),M73-82,737-8200,67099,8,2025-01-05,2026-02-02,6229.5,2850,AGP,6,33
EI-REG00281,EI,Ryanair DAC (Ireland),M73-82,737-8200,65898,8,2024-12-22,2026-04-19,13805.8,6367,DUB,7,25
9H-REG00300,9H,Malta Air / Lauda Europe (Malta),M73-82,737-8200,62339,8,2025-01-18,2026-08-10,16033.4,8395,BGY,7,25
EI-REG00317,EI,Ryanair DAC (Ireland),B737-8,737-800,40312,8,2019-04-04,2026-07-12,47572.2,24534,DUB,6,38
SP-REG00318,SP,Buzz (Poland),B737-8,737-800,34980,8,2025-01-07,2026-02-03,47431.8,24225,BGY,7,25
EI-REG00333,EI,Ryanair DAC (Ireland),B737-8,737-800,40301,8,2025-04-04,2026-07-29,48870.3,24840,BGY,7,25
EI-REG00351,EI,Ryanair DAC (Ireland),B737-8,737-800,34977,8,2025-05-04,2026-08-30,49132.3,24931,MAD,7,25
EI-REG00358,EI,Ryanair DAC (Ireland),M73-82,737-8200,67127,8,2025-12-12,2026-08-23,2847.4,1364,LBA,6,25
EI-REG00360,EI,Ryanair DAC (Ireland),B737-8,737-800,38509,8,2025-02-06,2026-06-13,52550.8,27030,BGY,6,25
EI-REG00367,EI,Ryanair DAC (Ireland),B737-8,737-800,40283,8,2025-04-01,2026-06-24,51052.8,25741,RAK,6,23
EI-REG00396,EI,Ryanair DAC (Ireland),B737-8,737-800,33620,8,2025-03-06,2026-08-17,60931.9,33944,NAP,8,25
EI-REG00406,EI,Ryanair DAC (Ireland),B737-8,737-800,35033,8,2025-01-31,2026-07-07,49020.6,25062,PFO,7,25
EI-REG00479,EI,Ryanair DAC (Ireland),M73-82,737-8200,67081,8,2025-01-04,2026-07-11,12132.9,5732,STN,6,25
EI-REG00495,EI,Ryanair DAC (Ireland),M73-82,737-8200,62376,8,2025-02-03,2026-07-22,7614.9,3663,ALC,7,33
EI-REG00496,EI,Ryanair DAC (Ireland),B737-8,737-800,33576,8,2025-04-11,2026-08-15,68012.3,40942,BGY,4,26
9H-REG00510,9H,Malta Air / Lauda Europe (Malta),M73-82,737-8200,62341,8,2025-02-04,2026-08-23,14307.8,7417,DUB,5,25
EI-REG00547,EI,Ryanair DAC (Ireland),B737-8,737-800,40315,8,2025-05-10,2025-10-31,43154.6,19807,BGY,5,25
EI-REG00556,EI,Ryanair DAC (Ireland),B737-8,737-800,35036,8,2025-01-18,2026-07-17,47956.5,24056,OPO,7,25
EI-REG00598,EI,Ryanair DAC (Ireland),M73-82,737-8200,67108,8,2025-04-15,2026-08-28,8235.1,3940,BER,7,33
G-REG00607,G,Ryanair UK (UK),B737-8,737-800,33640,8,2025-04-10,2026-07-29,61651.6,35546,MAN,3,25
EI-REG00612,EI,Ryanair DAC (Ireland),B737-8,737-800,38495,8,2026-03-08,2026-05-05,50897.6,26931,CGN,4,25
EI-REG00613,EI,Ryanair DAC (Ireland),B737-8,737-800,35019,8,2025-10-13,2026-06-30,53445.2,28891,BER,8,25
G-REG00062,G,Ryanair UK (UK),M73-82,737-8200,67128,7,2026-01-28,2026-06-30,2565.7,1194,STN,2,25
EI-REG00063,EI,Ryanair DAC (Ireland),B737-8,737-800,35551,7,2025-02-27,2026-08-04,60840.5,36207,LTN,5,23
EI-REG00086,EI,Ryanair DAC (Ireland),B737-8,737-800,36574,7,2025-06-13,2026-06-04,55230.3,31783,STN,5,25
EI-REG00157,EI,Ryanair DAC (Ireland),M73-82,737-8200,65078,7,2025-05-07,2026-07-15,17620.1,8354,STN,7,25
EI-REG00178,EI,Ryanair DAC (Ireland),B737-8,737-800,35010,7,2025-06-22,2026-02-14,53917.8,28720,BUD,5,25
EI-REG00181,EI,Ryanair DAC (Ireland),B737-8,737-800,38504,7,2025-02-13,2026-04-08,51270.7,27068,ARN,7,25
EI-REG00201,EI,Ryanair DAC (Ireland),B737-8,737-800,38506,7,2025-02-19,2026-04-27,51286.0,26847,DUB,6,23
9H-REG00203,9H,Malta Air / Lauda Europe (Malta),M73-82,737-8200,62345,7,2025-04-02,2026-06-18,12829.4,6484,PSA,6,33
EI-REG00237,EI,Ryanair DAC (Ireland),M73-82,737-8200,67132,7,2025-07-16,2026-07-26,13895.0,6511,MAN,6,25
EI-REG00247,EI,Ryanair DAC (Ireland),B737-8,737-800,37531,7,2025-03-22,2026-09-09,54898.3,29607,PSA,6,26
EI-REG00259,EI,Ryanair DAC (Ireland),M73-82,737-8200,67112,7,2025-07-15,2026-06-12,7340.3,3400,STN,5,33
EI-REG00277,EI,Ryanair DAC (Ireland),M73-82,737-8200,67087,7,2025-02-08,2026-05-31,11547.3,5374,BCN,5,33
EI-REG00293,EI,Ryanair DAC (Ireland),M73-82,737-8200,67120,7,2025-02-01,2026-08-29,7800.9,3635,SUF,7,33
EI-REG00294,EI,Ryanair DAC (Ireland),B737-8,737-800,40317,7,2025-03-11,2026-07-28,36396.6,18331,LPL,7,26
EI-REG00296,EI,Ryanair DAC (Ireland),B737-8,737-800,37539,7,2025-03-03,2026-04-17,53800.0,27249,CIA,6,25
EI-REG00299,EI,Ryanair DAC (Ireland),B737-8,737-800,33570,7,2025-01-15,2026-05-19,65991.6,40956,MAD,5,38
EI-REG00314,EI,Ryanair DAC (Ireland),B737-8,737-800,33642,7,2025-03-17,2026-07-23,58307.0,34055,STN,6,36
9H-REG00315,9H,Malta Air / Lauda Europe (Malta),M73-82,737-8200,62302,7,2025-04-26,2026-07-28,17348.7,9140,ARN,7,25
EI-REG00373,EI,Ryanair DAC (Ireland),B737-8,737-800,35003,7,2025-02-26,2025-11-30,53207.3,27999,STN,6,23
EI-REG00403,EI,Ryanair DAC (Ireland),M73-82,737-8200,67134,7,2025-02-18,2026-05-16,13131.7,6231,MAN,5,33
EI-REG00417,EI,Ryanair DAC (Ireland),B737-8,737-800,38502,7,2025-02-10,2026-07-20,45229.9,22453,STN,4,25
EI-REG00441,EI,Ryanair DAC (Ireland),M73-82,737-8200,62397,7,2025-12-09,2026-07-26,3325.5,1525,ARN,6,33
EI-REG00448,EI,Ryanair DAC (Ireland),B737-8,737-800,33583,7,2025-01-09,2026-04-17,62858.5,37777,KUN,6,38
EI-REG00457,EI,Ryanair DAC (Ireland),B737-8,737-800,33614,7,2025-02-02,2026-07-19,60283.7,36530,STN,7,25
EI-REG00475,EI,Ryanair DAC (Ireland),B737-8,737-800,33611,7,2025-06-02,2026-08-27,61308.8,36756,BGY,7,25
EI-REG00497,EI,Ryanair DAC (Ireland),B737-8,737-800,35011,7,2025-01-01,2026-09-06,55182.9,28432,CHO,6,25
EI-REG00538,EI,Ryanair DAC (Ireland),B737-8,737-800,33629,7,2025-06-12,2026-07-30,58448.9,33509,PSA,6,23
