wo,ata,ac,pos,pn_off,sn_off,pn_on,sn_on,label,cert
190467052,33-21,M73-82,CAB,9651-35-0005,34853,9651-35-0005,18280,3763413,136825
40848911,33-42,B737-8,RH,45-0351-4,6540,45-0351-6,8262,3805295,C468759-01
190068608,33-00,B737-8,20DEF,9651-35-0002,38979,9651-35-0002,53877,4179271,ARC174475
55708960,33-00,B737-8,CABIN,9651-35-0004,12441,9651-35-0004,13754,3723086,2916
190313421,25-00,M73-82,GALLEY G4,62197-301-001,23-08-0261,62197-301-001,21-02-0166,3867476,1337711
55463545,25-00,M73-82,GALLEY G4,8201-11-0000-01,21-01-0247,8201-11-0000-01,10-07-29033,3777171,KAV0125012
191534120,38-00,B737-8,GALLEY G4,72184025,4201,72184025,3047,4116603,KAV0426047
191408680,23-00,B737-8,F/O,5145-1-82,10956,5145-1-82,11425,4196042,PAV14619
190311907,33-00,M73-82,3DEF,9651-35-0005,20363,9651-35-0005,68362,3790523,20085632
191355634,33-21,B737-8,29ABC,9651-35-0005,24573,9651-35-0005,21038,4096619,ARC168784
55660572,33-21,B737-8,04DEF,9651-35-0002,19577,9651-35-0002,30974,4006633,160510
105180619,72-00,M73-82,#2,2085M31G03,PAT1H531,2085M31G03,PAT99J84,4001506,RG81032-1
105180619,72-00,M73-82,#2,2085M31G03,PAT1H536,2085M31G03,PSDNE338,4001509,RG81227-1
105180619,72-00,M73-82,#2,2085M31G03,PAT1H535,2085M31G03,PAT65E68,4001490,RF72678-1
105180619,72-00,M73-82,#2,2085M31G03,PAT1H454,2085M31G03,PSDNE864,4001492,RG84980-1
190533162,27-00,B737-8,LH STAB,0851HT1,436501,0851HT2,468364,3830791,407734114
191328454,38-00,B737-8,LAV A,14330-230,ZSK398,14330-230,ZSK630,4167471,0000072797
55356901,72-00,M73-82,#2,2085M31G03,PAT2G351,2085M31G03,PSDNJ950,3955214,NAB25A-02019
55644036,26-00,B737-8,AFT,473597-5,SJA7080,473597-5,42346,4019917,13134036
55644036,26-00,B737-8,AFT,473597-5,SJA5143,473597-5,SJA4425,4020499,13123923
55644036,26-00,B737-8,AFT,473597-5,SJA6978,473597-5,SJA4837,3960843,12865644
40311118,25-21,B737-8,FWDGALLY,72184025,3059,72184025,4387,3830617,KAV0325009
190914599,25-00,B737-8,FWD,72184025,4120,72184025,4216,3991636,SAV672
190592354,23-00,B737-8,FWD CAB,285W0024-1B,F47819,285W0024-1M,F46530,3903908,149934
190579164,38-00,B737-8,LAV D,SC4L500301-5,11534910-001,SC4L500301-5,175167846-001,4148511,6188927
