OperatorControlNumber,DifficultyDate,SubmissionDate,OperatorDesignator,SubmitterDesignator,SubmitterTypeCode,ReceivingRegionCode,ReceivingDistrictOffice,SDRType,JASCCode,NatureOfConditionA,NatureOfConditionB,NatureOfConditionC,PrecautionaryProcedureA,PrecautionaryProcedureB,PrecautionaryProcedureC,PrecautionaryProcedureD,StageOfOperationCode,HowDiscoveredCode,RegistryNNumber,AircraftMake,AircraftModel,AircraftSerialNumber,AircraftTotalTime,AircraftTotalCycles,EngineMake,EngineModel,EngineSerialNumber,EngineTotalTime,EngineTotalCycles,PropellerMake,PropellerModel,PropellerSerialNumber,PropellerTotalTime,PropellerTotalCycles,PartMake,PartName,PartNumber,PartSerialNumber,PartCondition,PartLocation,PartTotalTime,PartTotalCycles,PartTimeSince,PartSinceCode,ComponentMake,ComponentModel,ComponentName,ComponentPartNumber,ComponentSerialNumber,ComponentLocation,ComponentTotalTime,ComponentTotalCycles,ComponentTimeSince,ComponentSinceCode,FuselageStationFrom,FuselageStationTo,StringerFrom,StringerFromSide,StringerTo,StringerToSide,WingStationFrom,WingStationFromSide,WingStationTo,WingStationToSide,ButtLineFrom,ButtLineFromSide,ButtlineTo,ButtlineToSide,WaterLineFrom,WaterLineTo,CrackLength,NumberOfCracks,CorrosionLevel,StructuralOther,Discrepancy,match_key,match_field,wo_part_number,sdr_year
ASAA2023060343448,2023-06-03,2023-06-05T18:07:34.360-05:00,ASAA,ASAA,A,NM,02,A,3610,O,,,K,,,,CR,V,407AS,BOEING,737900ER,41731,39609,12381,,,,,,,,,,,,REGULATOR,1074926,13348,FAULTY,#2 ENGINE,333,94,333,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AT CRUISE ALT OF FL 330, DUCT SPLIT IS CONSISTENT AT 23 PSI. LEFT DUCT IS 40 PSI AND RIGHT PACK IS 17 PSI. OAT IS -50C AND ABOVE PRESSURES MEASURED AT 88.5% N1. GROUNDED - YES. ACCOMPLISHED HEALTH CHK TASK CARD NG-36WC-00002-2. REPLACED BLEED AIR REG REF B737-900 AMM 36-11-03. PERFORMED HIGH POWER RUN. R/H DUCT PRESS FAILED. 20%N1 L 20 PSI R 6 PSI, 60% N1 AND ABLOVE L-30 R-10.",1074926,PartNumber,107492-6,2023
AALA202306283542,2023-06-25,2023-06-28T14:50:02.967-05:00,AALA,AALA,A,SW,23,A,2530,B,,,O,,,,CR,V,125AA,AIRBUS,A320*,6272,27759,8756,,,,,,,,,,,,OVEN,820111000001,,DEFECTIVE,ZONE 900 - LAV/G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIRCRAFT WAS NOT GROUNDED: DURING FLIGHT THE FLIGHT ATTENDANT WAS USING THE FORWARD GALLEY #2 OVEN AND WHEN THE OVEN DOOR WAS OPENED SMOKE WAS VISIBLE BUT NO FIRE WAS NOTED. THE FLIGHT ATTENDANT TURNED OFF THE OVEN AND LOCKED IT TO PREVENT FURTHER USE. MAINTENANCE REPLACED THE OVEN PER AMM 25-35-19 AND ACCOMPLISHED A SATISFACTORY OPERATIONAL CHECK/,820111000001,PartNumber,8201-11-0000-01,2023
ASAA2023061943808,2023-06-19,2023-06-30T19:02:49.300-05:00,ASAA,ASAA,A,NM,02,A,7310,O,,,K,,,,NR,O,971AK,BOEING,7379,43339,5456,1552,,,,,,,,,,,,NOZZLE,2085M31G03,,COKED,#2 ENGINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GE DIAGNOSTICS REPORTS #2 ENGINE (SN 602613) TREND DATA SHOWS EXCESS COKING OF THE FUEL NOZZLE MAIN ORIFICES. (FULL SET FUEL NOZZLE REPLACEMENT 737MAX T/C 73-ASA-02) NO EXTENSION ALLOWED (225 CYCLES/45 DAYS). GROUNDED - YES. REPLACED FULL SET OF FUEL NOZZLES ON #2 ENGINE, SEE T/C 73-ASA-02.",2085M31G03,PartNumber,2085M31G03,2023
AALA202307030626,2023-06-30,2023-07-03T13:34:09.177-05:00,AALA,AALA,A,SW,23,A,2530,B,,,O,,,,CR,V,463AA,AIRBUS,A321253NX,11081,2424,678,,,,,,,,,,,,OVEN,820111000001,,DEFECTIVE,ZONE 900 - LAV/G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIRCRAFT WAS NOT GROUNDED: FLIGHT ATTENDANT REPORTS OVEN BURNS FOOD TO A CHAR. A LITTLE BIT OF BLACK SMOKE. OVEN WAS SHUT OFF A NOT USED FOR REMAINDER OF THE FLIGHT. **SUPPLEMENTAL REPORT WAS SUBMITTED**(OPEN),820111000001,PartNumber,8201-11-0000-01,2023
AALA202307055764,2023-06-30,2023-07-05T14:42:01.357-05:00,AALA,AALA,A,SW,23,A,2530,B,,,K,,,,NR,O,816AW,AIRBUS,A319132,1350,69779,32217,,,,,,,,,,,,OVEN,820111000001,,DEFECTIVE,ZONE 900 - LAV/G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIRCRAFT WAS NOT GROUNDED: FORWARD GALLEY #2 OVEN HAD ODOR DURING USE. REPLACED OVEN AND ACCOMPLISHED A SATISFACTORY OPERATIONAL CHECK.,820111000001,PartNumber,8201-11-0000-01,2023
ASAA2023070443896,2023-07-04,2023-07-06T18:32:02.237-05:00,ASAA,ASAA,A,NM,02,A,7532,O,,,D,,,,NR,V,431AS,BOEING,737990ER,43255,35740,11289,,,,,,,,,,,,REGULATOR,1074847,12206,FAULTY,NR 1 ENGINE,36981,13410,1147,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AT IDLE WITH BOTH ENGINES RUNNING, ON ENGINE BLEED AIR. LEFT DUCT PRESSURE READS ONLY 9 PSI. GROUNDED - YES. CONFIRMED PRESSURE READING, WITH PHOTO OF GAUGE AT IDLE, OUT OF LIMITS REF MM 36-00-00-860-014. REMOVED AND REPLACED PRECOOLER CONTROL VALVE #1 ENG REF AMM 36-12-02-400-801 STEP(3)(F)(10)(C). REMOVED AND REPLACED #1 ENG PRSOV REF AMM 36-11-04-400-801 STEP (3)(G)(9)(D) #65315. REPLACED #1 ENG HIGH STAGE REGULATOR, OPS/LEAK CHECK OK. REF MM 36-11-07-400-801. ACCOMPLISHED T/C NG-36WC-00001 ENGINE BLEED AIR HEALTH CHECK THROUGH STEP 05.F. COMPLETED PCV INST. TEST AND PRSOV INSTALLATION TEST REF MM 36-12-02-400-801 STEP 3.H -3I(2) MM 36-11-04-400-801 STEP 3.G. - 3.H.(2) #41581. COMPLETED T/C NG-36VW-00001 ENGINE BLEED AIR HEALTH CHECK. OPS CK GOOD.",1074847,PartNumber,107484-7,2023
CALA2023070702189,2023-07-04,2023-07-07T04:17:56.567-05:00,CALA,CALA,A,SW,27,A,7532,J,O,,A,,,,CL,O,38459,BOEING,737900ER,37206,34605,12519,,,,,,,,,,,HNYWL,REGULATOR,1074847,18335,INOPERATIVE,LH ENG,18778,6756,5529,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LEFT BLEED TRIP OFF DOES NOT RESET WITH CHECKLIST LEFT BLEEDTRIP IS A PREVIOUS OOS CONDITION AND A CURRENT A/R. THIS ITEM IS LOCKED FOR CONFIRMATION OF A POSITIVE FIX. TOMC BILSKI. PILOT INFO STATES THAT ""BLEED TRIP OFF"" LIGHT CAME AT 10,000 FT AHM UPDATE: ADDING ACMS PNEUMATIC REPORT AS A PICTURE WHEN ENGINES WERE AT 94-96% N1. PLANES CONFIGURATION WAS BOTH ATTACHMENT. RECOMMEND PNEUMATIC HEALTH CHECK OF THE PCCV, PRSOV, BLEEDS ON AND BOTH PACKS ON, APU BLEED WAS CLOSED. ISOLATION AND BAR. REF FIM 36-10 TASK 810. VALVE IN AUTO. REGULATOR 29-3611-9-0006 UNLOCKED FOR CORRECTIVE ACTION PERFORMED ENGINE BLEED AIR HEALTH CHECK ON #1 ENGINE PER AMM FOUND FAN AIR VALVE SEAL NOT MATING TO PRECOOLER. REPLACED FAN REMOVED AND INSTALLED #1 ENGINE HI STAGE REGULATOR REFERENCE AMM 36-11-00-700-801 AS SUGGESTED PER AHM. NO FAULTS NOTED, FURTHER AIR VALVE SEAL PER AMM 36-12-01. COMPLETED BLEED AIR HEALTH 36-11-07. REQUIRES LEAK CHECK, REQUIRES HIGH POWER ENGINE RUN. TS REQUIRED. REF FIM TASK 36-10 TASK 801. CHECK AND FOUND HP REGULATOR REGULATING AT 12 PSI AND NOT ADD EMP:393452 ADD EMP:U393427 SHUTING OFF AT HIGH PRESSURE. REF AMM 36-11-00-700-801. ROTABLE PARTS CHANGE WAS INDICATED - TT # 1660464  SN OFF 8335 REGULATOR, HI S  OFF 29-3611-9-0006 8335 ON 29-3611-9-0006 3767 PERFORMED LH ENG HIGH POWER ENG RUN FOR ENG BLEED CROSSOVER TEST REF AMM 36-11-00-710-801. TEST PASSED. NO LEAKS NOTED ADD EMP:U175220",1074847,PartNumber,107484-7,2023
ASAA2023070943944,2023-07-09,2023-07-10T19:15:56.033-05:00,ASAA,ASAA,A,NM,02,A,7200,O,,,K,,,,IN,V,559AS,BOEING,737890,35178,58262,17262,,,,,,,,,,,,BLADE,3400010360,DM124306J,VIBRATION,#2 ENGINE,23638,7831,737,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PER TASK CARD PWRPL -72EA-25808-2 ALL 24 FAN BLADES ON #2 ENG S/N 894241 REQUIRE REPLACEMENT. GROUNDED - YES. PER T/C PWRPL-72EA-25808-2 REMOVED AND REPLACED ALL 24 FAN BLADES ON #2 ENG S/N 894241 RL 58708 07/09/2023 ALL P/ TRANSACTIONS ACCOMPLISHED IN TRAX REF T/C FOR RII.,3400010360,PartNumber,340-001-036-0,2023
COZA20230710142,2023-07-06,2023-07-10T17:13:57.587-05:00,COZA,COZA,A,WP,39,A,3610,J,,,A,,,,CR,V,778MA,BOEING,737808,34704,55000,17235,,,,,,,,,,,HNYWL,SHUTOFF VALVE,32145526,14808,MALFUNCTIONED,RT ENGINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT SLOWLY LOST PRESSURIZATION AT 300 FPM DURING CRUISE FLIGHT.  TROUBLESHOT THE PROBLEM USING THE BOEING 737 FIM.  DETERMINED TO BE LOW AIR DUCT PRESSURE COMING FROM THE RIGHT ENGINE.  USING STEPS LISTED IN THE FIM TO TEST VALVES ON THE RIGHT ENGINE, DETERMINED THE RIGHT PRESSURE REGULATING AND SHUTOFF VALVE NEEDED TO BE CHANGED.  CHANGED THE VALVE AND PERFORMED ENGINE RUNS.  RIGHT ENGINE AIR DUCT PRESSURE WAS NOW CORRECT.",32145526,PartNumber,3214552-6,2023
ASAA2023071244001,2023-07-12,2023-07-13T17:51:55.990-05:00,ASAA,ASAA,A,NM,02,A,7532,O,,,K,,,,IN,9,592AS,BOEING,737890,35190,55740,16567,,,,,,,,,,,,BLEED VALVE,32145526,8349,LEAKING,#1 ENGINE,57255,21261,15920,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DURING SCHEDULED MTX WORK ON #1 ENGINE, FOUND PRSOV LEAKING. GROUNDED - YES. R&R ENG #1 PRSOV PER AMM 32-11-04. OPS CHECK OK. NO LEAKS.",32145526,PartNumber,3214552-6,2023
ASAA2023071344011,2023-07-13,2023-07-14T19:07:34.080-05:00,ASAA,ASAA,A,NM,02,A,7500,O,,,K,,,,IN,V,583AS,BOEING,737890,35681,55901,16355,,,,,,,,,,,,REGULATOR,1074926,13139,FAULTY,#1 ENGINE,44267,12959,14451,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#1 ENG. BLEED PRESSURE LOW AT IDLE. GROUNDED - YES. REPLACED BLEED AIR REGULATOR PER MM 36-11-03-400.REPLACED PRSOV FOUND TO BE LEAKING, PER MM 36-11-04-400-801.LEAK & OPS CHECK GOOD.",1074926,PartNumber,107492-6,2023
DALA2023071705749,2023-07-11,2023-07-17T13:34:59.347-05:00,DALA,DALA,A,SO,27,A,3350,O,,,K,,,,IN,O,915DU,BOEING,737900ER,62783,13859,5533,,,,,,,,,,,,LIGHT,9701140001,,INOPERATIVE,UNKNOWN,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(LOG 9724266) OVER WING EXIT LIGHT AT ROW 19 DEF INOP. R/R LIGHT ASSY AT 19DEF PER B737 AMM 33-21. OPS CK GOOD.,9701140001,PartNumber,9701-14-0001,2023
ASAA2023071544055,2023-07-15,2023-07-17T18:52:44.120-05:00,ASAA,ASAA,A,NM,02,A,3030,J,,,K,,,,TX,V,949AK,BOEING,7379,43356,2968,853,,,,,,,,,,,,PITOT HEAD,0851HT1,,FAULTY,RH FWD FUSELAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUX PITOT ILLUMINATED AFTER PUSH. GROUNDED - YES. REMOVED AND REPLACED AUX PITOT PROBE REF B737-9 AMM 34-11-01.,0851HT1,PartNumber,0851HT1,2023
ASAA2023071944174,2023-07-19,2023-07-24T18:39:48.127-05:00,ASAA,ASAA,A,NM,02,A,3610,O,,,D,,,,TX,V,596AS,BOEING,737890,35688,54288,16230,,,,,,,,,,,,SENSOR,1296663,24385,FAULTED,#1 ENGINE,15287,4816,15287,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BEFORE T/O A SPLIT WAS NOTED IN THE COMMANDED N1 FOR T/O POWER. L 87.8, R 87.2. L DUCT PRESSURE INDICATED 3 PSI, RIGHT INDICATED 20 PSI. CYCLING PACKS AND BLEEDS CAUSED SAME RESULT. OPENING THE ISOLATION VALVE SHOWED DUCT PRESSURS BOTH AT 16PSI. GROUNDED - YES. WHILE PREFORMING T/C NG-36WC-00002-1 FOUND LOOSE SENSE LINE FROM PCV TO WTAI, TORQUED B NUT AS REQUIRED. ACCOMPLISHED ENG BLEED AIR CROSSOVER OPS TEST, TEST GOOD IN REF TO AMM 36-11-00-710. MATT HERMON 45528 CONTINUE TASK CARD FROM TEST Q.COMPLETED T/C NG-36WC-00002-1; NO FAULTS FOUND. REF AMM 36-11-00-700-801 FIG 508: SUSPECT 450* THERMOSTAT. CHANGED 450* THERMO REF 36-11-05. PRECAUTION CHANGED 390* PRE-COOLER CONT VALVE SENSOR REF AMM 36-12-03.REQ ENG BLEED AIR CROSS OVER OPS TEST: REF AMM 36-11-00-710-801-TEST GOOD. ACFT OK FOR SERV. ETOPS SIG SYSTEM. NOTIFIED SEAMC : AUSTON.POST MAINT GROUND VERIFICATION CHECK: CHECK GOOD.",1296663,PartNumber,129666-3,2023
ASAA2023072844311,2023-07-28,2023-07-31T16:54:59.327-05:00,ASAA,ASAA,A,NM,02,A,7500,J,,,K,,,,TX,V,453AS,BOEING,737990ER,36354,35712,11238,,,,,,,,,,,,REGULATOR,1074847,19757,LEAKING,#1 ENGINE,14648,4285,1882,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WITH APU OFF AND PACKS ON ENGINE BLEEDS DUCT SHOWED 9 PSI & RIGHT DUCT SHOWED 19 PSI (ON GROUND). AT CRUISE THRUST LEFT DUCT 40 PSI AND RIGHT DUCT 45 PSI AT FLIGHT IDLE IN DESCENT LEFT DUCT 13PSI AND 28 PSI RIGHT DUCT. GROUNDED - YES. ACCOMPLISHED ENGINE BLEED AIR SYSTEM HEALTH CHECK REF B737-900 AMM 36-11-00.FOUND HIGH STAGE VALVE DIFFICULT TO MOVE TO OPEN & CLOSE POSITIONS & HIGH STAGE REGULATOR LEAKING FROM DOWNSTREAM PRESSURE PORT AT SENSE LINE. REMOVED & REPLACED HIGH STAGE VALVE REF AMM 36-11-06 & HIGH STAGE REGULATOR REF AMM 36-11-07. ACCOMPLISHED ENGINE BLEED AIR CROSSOVER TEST PER AMM 36-11-00. ALL DUCT PRESSURES NORMAL.,1074847,PartNumber,107484-7,2023
ASAA2023073044325,2023-07-30,2023-08-01T17:26:12.637-05:00,ASAA,ASAA,A,NM,02,A,3040,M,,,K,,,,NR,V,934AK,BOEING,7379,43374,5369,1554,,,,,,,,,,,,MODULE,233A3201313,F09138,FAULTY,WINDOW HEAT,5364,1553,5364,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CAPTAIN SIDE LEFT FWD WINDOW HEAT SHOWS OVERHEAT. GROUNDED - YES. C/W WHCU BITE TEST REF. AMM 30-41-11, FOUND P5-9 FAULT LIGHT ILLUMINATEDSEAMC DOUG NOTIFIED NON ASA # 6PMR677B R&R WINDOW/PITOT HEAT MODULE P5-9 IAW AMM 30-00-02 OP CHECK GOOD PERFORMED PITOT PROBE, AOA SENSOR & TAT PROBE HEATER SYS TEST IAW 30-31-00. SYS TEST PASSED. SEAMC PETERS NOTIFIED NON ASA # 6PMR677B.",233A3201313,PartNumber,233A3201-313,2023
AALA202308030626,2023-06-30,2023-08-03T12:30:54.150-05:00,AALA,AALA,A,SW,23,A,2530,B,,,O,,,,CR,V,463AA,AIRBUS,A321253NX,11081,2424,678,,,,,,,,,,,,OVEN,820111000001,,DEFECTIVE,ZONE 900 - LAV/G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIRCRAFT WAS NOT GROUNDED: FLIGHT ATTENDANT REPORTS OVEN BURNS FOOD TO A CHAR. A LITTLE BIT OF BLACK SMOKE. OVEN WAS SHUT OFF A NOT USED FOR REMAINDER OF THE FLIGHT. **SUPPLEMENTAL REPORT FOR AALA202307030626: MAINTENANCE REPLACED OVEN PER AMM 25-33-00 AND ACCOMPLISHED A SATISFACTORY OPERATIONAL CHECK**(CLOSED),820111000001,PartNumber,8201-11-0000-01,2023
ASAA2023080344401,2023-08-03,2023-08-04T15:18:01.347-05:00,ASAA,ASAA,A,NM,02,A,7200,O,,,K,,,,IN,V,593AS,BOEING,737890,35107,56195,16784,,,,,,,,,,,,BLADE,3400010380,DC9807251,CORRODED,NR 1 ENGINE,37062,9677,11819,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#18 BLADE #1 ENG IS PITTED IN AREA H, PLATFORM SEAL RUB AREA, OUT OF LIMITS. GROUNDED - YES. REPLACED #6 AND 18 FAN BLADE REF AMM 72-21-02 AND T/C 78472010.",3400010380,PartNumber,340-001-038-0,2023
ASAA2023080344402,2023-08-03,2023-08-04T15:18:01.357-05:00,ASAA,ASAA,A,NM,02,A,7220,O,,,K,,,,IN,V,593AS,BOEING,737890,35107,56195,16784,,,,,,,,,,,,BLADE,3400010380,DD4559604,CORRODED,#1 ENGINE,58652,24969,11819,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#19 BLADE #1 ENG IS PITTED IN AREA H, PLATFORM SEAL RUB AREA, OUT OF LIMITS. GROUNDED - YES. REPLACED #7 AND 19 FAN BLADES REF AMM 72-21-02 AND T/C 78472010.",3400010380,PartNumber,340-001-038-0,2023
DALA2023080706393,2023-08-05,2023-08-07T13:00:08.883-05:00,DALA,DALA,A,SO,27,A,3350,O,,,K,,,,IN,O,885DN,BOEING,737900ER,31996,16543,6147,,,,,,,,,,,,LIGHT,9701140001,,DEFECTIVE,UNKNOWN,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(LOG 4535630) LEFT FWD OVERWING WHITE LIGHT FLICKERS. REMOVED AND REPLACED OVERWING EXIT LIGHT PER B737 AMM 33-51.,9701140001,PartNumber,9701-14-0001,2023
ASAA2023072544431,2023-07-25,2023-08-07T18:17:38.467-05:00,ASAA,ASAA,A,NM,02,A,7310,O,,,K,,,,IN,O,937AK,BOEING,7379,44100,4748,1391,,,,,,,,,,,,FUEL NOZZLE,2085M31G03,PAT39J50,COKED,#1 ENGINE,4748,1391,4748,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GE DIAGNOSTICS REPORTS #1 ENGINE (SN 60A323) TREND DATA SHOWS EXCESS COKING OF THE FUEL NOZZLE MAIN ORIFICES. -----#PRI3/ETOPS----- (FULL SET FUEL NOZZLE REPLACEMENT 737MAX T/C 73-ASA-02)NO EXTENSION ALLOWED (150 CYCLES).CNR 20230725055. GROUNDED - YES. (RESOLVED ON W/O: 1963219 TASKCARD: N/R-00001 ) REPLACED FULL FUEL NOZZLE SET ON #2 ENGINE S/N 60A323. SEAMC AUSTIN NOTIFIED.,2085M31G03,PartNumber,2085M31G03,2023
AALA202308111935,2023-08-10,2023-08-11T14:38:23.383-05:00,AALA,AALA,A,SW,23,A,2530,B,,,O,,,,NR,O,406AN,AIRBUS,A321253NX,8834,12949,3592,,,,,,,,,,,,OVEN,820111000001,,ODOR,ZONE 900 - LAV/G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIRCRAFT WAS NOT GROUNDED: FLIGHT ATTENDANT REPORTED ELECTRICAL ODOR WHEN OPERATING FIRST CLASS GALLEY OVEN #2. ODOR DISSIPATED WHEN OVEN TURNED OFF. MAINTENANCE REPLACED OVEN PER AMM 25-35-19 AND ACCOMPLISHED A SATISFACTORY OPERATIONAL CHECK.,820111000001,PartNumber,8201-11-0000-01,2023
ASAA2023080944522,2023-08-09,2023-08-11T18:21:50.743-05:00,ASAA,ASAA,A,NM,02,A,7532,O,,,K,,,,CR,V,531AS,BOEING,737890,35199,46594,13551,,,,,,,,,,,,BLEED VALVE,32145526,11634,LEAKING,#2 ENGINE,41245,13573,7014,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"INFLIGHT DUCT PRESSURE DIFFERENTIAL EXCEEDED 20 PSI AT 8000FT LEFT - 40PSI RIGHT - 65PSIAT 17000FT AND APPROX 10 MINS INFLIGHT LEFT - 45PSI RIGHT - 55PSIAT 34000FT AND APRROX 25 MINS - 30 MINS INFLIGHT LEFT - 45PSI RIGHT - 45PSIAT 34000FT AND 3.30 HRS OF FLIGHT TIME LEFT - 40 PSI RIGHT 40 PSI. GROUNDED - YES. T/S #2 ENG. PER B737-800 FIM 36-10 TASK 807. FOUND PRSOV LEAKING. PERFORMED OPS TEST OF PRSOV PER B737-800 AMM 36-11-04-860-003, OPS CHECK FAILED. REMOVED AND REPLACED #2 PRSOV REF AMM 36-11-04. OPS AND LEAK CK GOOD. PERFORMED ENGINE RUN FOR OPERATIONAL LIMITS PER AMM 71-00-00. OPS CK NORMAL.",32145526,PartNumber,3214552-6,2023
ASAA2023081044575,2023-08-10,2023-08-14T18:08:17.340-05:00,ASAA,ASAA,A,NM,02,A,3610,J,,,K,,,,NR,V,562AS,BOEING,737890,35091,61480,18163,,,,,,,,,,,,VALVE,32145526,14451,FAULTY,#2 ENGINE,33065,10067,20565,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ON DEP FROM LIH NOTED DUCT PRESSURE SPLITOF 22PSI L40 R18 N1'S 95.2/95.2. GROUNDED - YES. REMOVED PRSOV ON ENG #2 IAW AMM 36-11-04-000-801 DUE TO LEAK FOUND ON VALVE IT SELF R,MOLING 51286 08/11/2023 INSTALLED NEW PRSOV ON ENG #2 LEAK AND OPS CHECK GOOD. REF AMM 36-11-04-400-801.",32145526,PartNumber,3214552-6,2023
ASAA2023081144577,2023-08-11,2023-08-14T18:08:17.360-05:00,ASAA,ASAA,A,NM,02,A,7500,J,,,K,,,,NR,V,562AS,BOEING,737890,35091,61480,18163,,,,,,,,,,,,REGULATOR,1074926,5499,LEAKING,#2 ENGINE,15311,5041,9673,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2 ENG BLEED AIR REGULATOR LEAKING. GROUNDED - YES. REMOVED AND REPLACED #2 ENG BAR REF AMM 36-11-03.,1074926,PartNumber,107492-6,2023
ASAA2023081944685,2023-08-19,2023-08-21T17:28:10.060-05:00,ASAA,ASAA,A,NM,02,A,7532,J,,,K,,,,CL,V,529AS,BOEING,737890,35198,47125,13948,,,,,,,,,,,,BLEED VALVE,32145526,2951,FAILED,#2 ENGINE,95645,45731,257,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AFTER TAKEOFF RIGHT DUCT PRESSURE FLUCTUATED BETWEEN 62 AND 67 PSI. DIFFERENTIAL BETWEEN L AND R DUCT PRESSURE > 20 PSI. CLIMBIMG THROUGH 18,000 FEET, BOTH DUCT PRESSURES NORMALIZED. L DUCT STAYED 38-45 PSI. R DUCT WAS ABOVE 60 PSI AT CLIMB PWR FOR ABOUT 5 MINS. GROUNDED - YES. PERFOMED FIM TASK 36-10. 803. FOUND #2 ENG PRSOV IN THE OPEN POSITION, UNABLE TO CLOSE. REPLACED PRSOV REF AMM 36-11-04-400-801. OPS CHECK GOOD, NO OTHER DEFECTS NOTED. PERFORMED BLEED AIR CROSSOVER TES REF AMM 36-11-00-710-801, OPS TEST GOOD.",32145526,PartNumber,3214552-6,2023
ASAA2023082044709,2023-08-20,2023-08-22T12:52:16.263-05:00,ASAA,ASAA,A,NM,02,A,3610,J,,,K,,,,CL,V,535AS,BOEING,737890,35200,45379,13052,,,,,,,,,,,,SENSOR,1296663,16231,FAULTY,,5207,1540,5207,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ON CLIMB OUT GOT ""BLEED TRIP OFF"" ON #2 SIDE AFTER SELECTING WING-ANTI ICE ON. RAN QRH AND PUSHED TRIP RESET. NO FURTHER ABNORMAL INDICATION. GROUNDED - YES. ACCOMPLISHED FIM 36-10 TASK 801. FOUND NO FAULTS. REF T/C NG-36WC-00001 FOR #2 ENGINE BLEED SYSTEM HEALTH CHECK, NO FAULTS FOUND ON HEALTH CHECK. AS PRECAUTIONARY REMOVED AND REPLACED PREE COOLER CONTROL VALVE SENSOR PER AMM 36-12-03-000-801 AND 36-12-03-400-801. ACCOMPLISHED BLEED AIR CROSSOVER OPERATIONAL TEST PER AMM 36-11-00-710-801. TEST PASSED. WITH #2 ENGINE AT 90% N1 WING ANTI ICE ON AND OFF, NO BLEED TRIP FAULT.",1296663,PartNumber,129666-3,2023
AALA202308237325,2023-08-19,2023-08-23T13:43:24.397-05:00,AALA,AALA,A,SW,23,A,2612,J,,,A,,,,CR,O,903AN,BOEING,737823,29505,26155,63416,,,,,,,,,,,KIDDE,MODULE,4739551,,INOPERATIVE,ZONE 200 - FUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIRCRAFT WAS GROUNDED: AN EMERGENCY WAS DECLARED AND THE AIRCRAFT DIVERTED TO IND DUE TO AFT CARGO FIRE WARNING. WARNING WENT OUT ON ITS OWN. NO SMOKE OR FUMES. AIRCRAFT LANDED SAFELY AT IND WITHOUT FURTHER INCIDENT. **SUPPLEMENTAL REPORT FOR AALA202308217325: REPLACED AFT CARGO ELECTRONIC UNIT PER AMM 26-16-02.** (CLOSED).,4739551,PartNumber,473955-1,2023
